"state" "year" "n" "h" "i"
"X1" "Alabama" 1970 27.3104880582 35.8300631292 18.1
"X2" "Arkansas" 1970 63.3005617978 -16.0527978656 24
"X3" "California" 1970 77.6267896142 -179.6594912242 24.2
"X4" "Colorado" 1970 84.2624065262 -135.6433028492 33.9
"X5" "Georgia" 1970 54.6955878728 28.4737348665 22.5
"X6" "Illinois" 1970 89.2712949286 57.4299705076 16.8
"X7" "Indiana" 1970 84.6649107404 55.9030603939 21.8
"X8" "Iowa" 1970 80.1476051315 57.355970289 26.2
"X9" "Kansas" 1970 85.0981434375 40.152733119 23.4
"X10" "Michigan" 1970 80.7821032235 0.1211133372 22.6
"X11" "Minnesota" 1970 87.5577401398 33.254721179 28.7
"X12" "Mississippi" 1970 52.000792393 0.7153993299 20.8
"X13" "Missouri" 1970 33.7895866881 44.8644917533 20.3
"X14" "Montana" 1970 90.0435293305 -147.6944253269 23.1
"X15" "Nebraska" 1970 86.8014587579 43.4633205298 27.2
"X16" "New York" 1970 63.2512315271 -99.0601846783 21.6
"X17" "North Carolina" 1970 72.3958333333 -8.3056214732 12.5
"X18" "North Dakota" 1970 93.0039628162 13.1422316481 19.2
"X19" "Ohio" 1970 80 20.4556119242 17
"X20" "Oklahoma" 1970 50.564516129 -4.9959288124 20.2
"X21" "Pennsylvania" 1970 72.9362101313 -79.411865805 16.2
"X22" "South Dakota" 1970 81.6377779139 2.6042446194 24.4
"X23" "Tennessee" 1970 -0.2651816494 -7.4468875353 19.7
"X24" "Texas" 1970 50.2688956518 -27.6646730014 16.5
"X25" "Wisconsin" 1970 76.509391771 -12.9802174982 24.3
"X26" "Alabama" 1975 34.1658957755 58.2071685093 19.6
"X27" "Arkansas" 1975 66.1595394737 48.5452540504 23
"X28" "California" 1975 84.8641655886 -108.7333319972 29.4
"X29" "Colorado" 1975 85.8936565127 -3.9011256212 26.5
"X30" "Georgia" 1975 61.6288832914 49.5317345029 27.8
"X31" "Illinois" 1975 91.7518442805 76.3984237562 13.2
"X32" "Indiana" 1975 88.1198864585 66.45993073 19.1
"X33" "Iowa" 1975 84.9589790337 74.6912421138 19
"X34" "Kansas" 1975 85.4777972484 68.4171090745 19.8
"X35" "Michigan" 1975 86.1580630425 44.3275015772 21.2
"X36" "Minnesota" 1975 90.2870510259 62.9543896132 21.2
"X37" "Mississippi" 1975 54.6734955186 33.2595878616 24.7
"X38" "Missouri" 1975 47.8897368011 66.6483125863 18.8
"X39" "Montana" 1975 92.1056260342 -46.1125465588 20.4
"X40" "Nebraska" 1975 83.4009328737 57.8384814936 20.2
"X41" "New York" 1975 72.0655141037 -47.8079331942 22.2
